rate,votes,location,rest_type,dish_liked,cuisines
4.1/5,775,Banashankari,Casual Dining,Pasta Lunch Buffet Masala Papad Paneer Lajawab Tomato Shorba Dum Biryani Sweet Corn Soup,North Indian Mughlai Chinese
4.1/5,787,Banashankari,Casual Dining,Momos Lunch Buffet Chocolate Nirvana Thai Green Curry Paneer Tikka Dum Biryani Chicken Biryani,Chinese North Indian Thai
3.8/5,918,Banashankari,Cafe Casual Dining,Churros Cannelloni Minestrone Soup Hot Chocolate Pink Sauce Pasta Salsa Veg Supreme Pizza,Cafe Mexican Italian
3.7/5,88,Banashankari,Quick Bites,Masala Dosa,South Indian North Indian
3.8/5,166,Basavanagudi,Casual Dining,Panipuri Gol Gappe,North Indian Rajasthani
3.8/5,286,Basavanagudi,Casual Dining,Onion Rings Pasta Kadhai Paneer Salads Salad Roti Jeera Rice,North Indian
4.6/5,2556,Banashankari,Casual Dining Cafe,Farmhouse Pizza Chocolate Banana Virgin Mojito Pasta Paneer Tikka Lime Soda Prawn Pizza,Pizza Cafe Italian
4.0/5,324,Banashankari,Cafe,Pizza Mocktails Coffee Nachos Salad Pasta Sandwiches,Cafe Italian Continental
4.2/5,504,Banashankari,Cafe,Waffles Pasta Coleslaw Sandwich Choco Waffle Tacos Momos Cheese Nachos,Cafe Mexican Italian Momos Beverages
4.1/5,402,Banashankari,Cafe,Waffles Pasta Crispy Chicken Honey Chilli Chicken Sandwich Coffee Crepe,Cafe
4.2/5,150,Banashankari,Cafe,Mocktails Peri Fries Lasagne Pizza Chicken Bbq Wings Virgin Mojito Nachos,Cafe Italian Continental
4.2/5,164,Banashankari,Cafe,Coffee Spaghetti Pancakes Nachos Pasta Sandwich Garlic Bread,Cafe Chinese Continental Italian
4.0/5,424,Banashankari,Cafe,Sandwich Omelette Ice Tea Virgin Mojito Hot Chocolate Pasta Arrabiata Hazelnut Cappuccino,Cafe Continental
